feature,importance
lag_2,0.2794299235297885
lag_1,0.12561749973730751
lag_24,0.12255464020539915
lag_168,0.12179287263700066
lag_48,0.12072270549336739
lag_3,0.055095891982505266
rolling_mean_3,0.03294739825331203
trend_lag_1_48,0.0241535452962641
trend_lag_1_24,0.020922625377448316
trend_lag_1_168,0.019369575281570014
rolling_max_3,0.014908302857046711
rolling_min_3,0.01351879160476009
rolling_min_24,0.011918925101237538
rolling_max_24,0.006211268544782993
trend_lag_24_168,0.00380631253245131
rolling_std_24,0.0020568892648085185
month,0.0020555050918430787
hour,0.0019395923507589355
dayofyear,0.0019077363260328517
rolling_std_168,0.0017639649052977845
rolling_std_3,0.0016138800809331996
hour_sin,0.0013967722738290242
dayofyear_cos,0.0012283683183462696
region_PJME,0.0011322482822537796
hour_cos,0.0010747261040127323
weekofyear_cos,0.0010543311416379053
trend_rolling_24_168,0.0009924943247886474
rolling_max_168,0.000938469697555026
is_peak_hour,0.0006896282719217126
dayofweek_cos,0.0006183574022483759
region_PJM_Load,0.000532134567259998
is_weekend,0.0004654928670763869
is_business_day,0.0004566597962625807
region_DUQ,0.00043916748012622547
month_sin,0.0004281981589592233
region_DAYTON,0.00041807467726088436
rolling_mean_168,0.0004122610471301715
rolling_min_168,0.0003270397473254138
weekofyear_sin,0.00032592438289822154
dayofweek_sin,0.0003129340459323825
region_PJMW,0.00030290056708357274
rolling_mean_24,0.00028470707372791205
region_EKPC,0.00026198662534995186
region_DEOK,0.00024999113539887427
trend_rolling_std_24_168,0.00023594403529585224
day,0.0001990544906532699
quarter,0.0001365238123293131
region_FE,0.0001288758904059204
region_AEP,0.00010700513987946756
year,9.989437324803213e-05
ratio_lag_1_24,9.652932624755115e-05
dayofyear_sin,6.208996979003461e-05
dayofweek,5.122195967867024e-05
weekofyear,4.450008327705424e-05
is_quarter_start,3.549682584766289e-05
ratio_roll_24_168,3.499495295693402e-05
is_quarter_end,2.3960708701127332e-05
is_month_end,2.3764420854783428e-05
region_DOM,1.4189516253841104e-05
region_NI,1.2795178766783966e-05
ratio_lag_24_168,1.0376529768469109e-05
month_cos,1.0166562204123412e-05
is_holiday,9.030526818909028e-06
region_COMED,8.231787937406744e-06
is_month_start,4.639466783545317e-06
