('2022-01-01', 'Db', 10000.0, 473292.87, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-01-01', 'Db', 10000.0, 463292.87, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-01-02', 'Db', 930.0, 462362.87, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-01-07', 'Db', 2000.0, 460362.87, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-01-10', 'Db', 1000.0, 459362.87, 'UPI', 'AGRAWALB', None, 0, 0, 0)
('2022-01-10', 'Db', 1800.0, 457562.87, 'UPI', 'GOASELEC', None, 0, 0, 0)
('2022-01-10', 'Db', 5000.0, 452562.87, 'UPI', 'GOASELEC', None, 0, 0, 0)
('2022-01-10', 'Db', 3000.0, 449562.87, 'UPI', 'AGRAWALB', None, 0, 0, 0)
('2022-01-10', 'Cr', 2400.0, 451962.87, 'NEFT', None, None, 0, 0, 0)
('2022-01-12', 'Cr', 1.0, 451963.87, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-01-12', 'Cr', 1000.0, 452963.87, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-01-12', 'Db', 1000.0, 451963.87, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2022-01-12', 'Db', 275.0, 451688.87, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-01-12', 'Db', 85.0, 451603.87, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-01-13', 'Db', 563.0, 451040.87, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-01-14', 'Db', 7000.0, 444040.87, 'UPI', 'BUDESAHEB', None, 0, 0, 1)
('2022-01-22', 'Db', 189.0, 443851.87, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-01-25', 'Cr', 7.09, 443858.96, 'ECS', None, None, 0, 0, 0)
('2022-01-29', 'Cr', 2400.0, 446258.96, 'NEFT', None, None, 0, 0, 0)
('2022-01-29', 'Db', 142.0, 446116.96, 'DEBIT CARD ANNUAL', None, None, 0, 0, 0)
('2022-02-01', 'Cr', 3187.0, 449303.96, 'SBINT', None, None, 0, 0, 0)
('2022-02-02', 'Db', 750.0, 448553.96, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-02-04', 'Db', 19600.0, 428953.96, 'UPI', 'STATEBAN', None, 0, 0, 1)
('2022-02-04', 'Db', 10000.0, 418953.96, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-02-04', 'Db', 10000.0, 408953.96, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-02-05', 'Cr', 52521.0, 461474.96, 'NEFT', None, None, 0, 0, 1)
('2022-02-05', 'Db', 2000.0, 459474.96, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-02-10', 'Db', 302.0, 459172.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-02-10', 'Db', 85.0, 459087.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-02-11', 'Cr', 2400.0, 461487.96, 'NEFT', None, None, 0, 0, 0)
('2022-02-11', 'Db', 2000.0, 459487.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-02-16', 'Db', 600.0, 458887.96, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-02-21', 'Cr', 112.0, 458999.96, 'ECS', None, None, 0, 0, 0)
('2022-02-21', 'Cr', 8.0, 459007.96, 'ECS', None, None, 0, 0, 0)
('2022-02-21', 'Db', 59.0, 458948.96, 'STOCK CHRG', None, None, 0, 0, 0)
('2022-02-21', 'Db', 59.0, 458889.96, 'STOCK CHRG', None, None, 0, 0, 0)
('2022-02-21', 'Db', 21000.0, 437889.96, 'UPI', 'ABDULHAME', None, 0, 0, 1)
('2022-02-24', 'Db', 4080.0, 433809.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-02-26', 'Db', 10000.0, 423809.96, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-02-26', 'Db', 10000.0, 413809.96, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-03-01', 'Db', 500.0, 413309.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-01', 'Cr', 2400.0, 415709.96, 'NEFT', None, None, 0, 0, 0)
('2022-03-01', 'Db', 800.0, 414909.96, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-03-04', 'Db', 1.0, 414908.96, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-03-04', 'Db', 5400.0, 409508.96, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-03-06', 'Db', 1000.0, 408508.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-07', 'Db', 89.0, 408419.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-03-09', 'Db', 500.0, 407919.96, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-03-10', 'Cr', 1.0, 407920.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-03-10', 'Cr', 11500.0, 419420.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-03-10', 'Db', 1000.0, 418420.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-11', 'Cr', 52601.0, 471021.96, 'NEFT', None, None, 0, 0, 1)
('2022-03-12', 'Db', 1000.0, 470021.96, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-03-12', 'Db', 400.0, 469621.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-03-13', 'Db', 719.0, 468902.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-16', 'Db', 1500.0, 467402.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-17', 'Cr', 2400.0, 469802.96, 'NEFT', None, None, 0, 0, 0)
('2022-03-20', 'Db', 18.0, 469784.96, 'SMS CHARGES', None, None, 0, 0, 0)
('2022-03-20', 'Db', 500.0, 469284.96, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-03-22', 'Db', 1.0, 469283.96, 'UPI', 'KIRNAKUMA', None, 0, 0, 0)
('2022-03-23', 'Db', 200000.0, 269283.96, 'CHEQUE', None, None, 0, 1, 1)
('2022-03-25', 'Db', 24000.0, 245283.96, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2022-03-26', 'Db', 1000.0, 244283.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-03-28', 'Db', 10000.0, 234283.96, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-03-31', 'Db', 4000.0, 230283.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-04-02', 'Db', 992.0, 229291.96, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-04-04', 'Cr', 2400.0, 231691.96, 'NEFT', None, None, 0, 0, 0)
('2022-04-05', 'Db', 5200.0, 226491.96, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-04-06', 'Db', 200.0, 226291.96, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-04-07', 'Db', 138.0, 226153.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-04-11', 'Db', 200000.0, 26153.96, 'CHEQUE', None, None, 0, 1, 1)
('2022-04-11', 'Db', 636.0, 25517.96, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-04-16', 'Cr', 11500.0, 37017.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-04-17', 'Cr', 1.0, 37018.96, 'IMPS', None, None, 0, 0, 0)
('2022-04-17', 'Cr', 17500.0, 54518.96, 'IMPS', None, None, 0, 0, 1)
('2022-04-21', 'Cr', 52601.0, 107119.96, 'NEFT', None, None, 0, 0, 1)
('2022-04-23', 'Db', 2000.0, 105119.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-04-24', 'Db', 5500.0, 99619.96, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-04-27', 'Db', 1500.0, 98119.96, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2022-04-28', 'Cr', 2400.0, 100519.96, 'NEFT', None, None, 0, 0, 0)
('2022-04-29', 'Db', 1000.0, 99519.96, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-05-01', 'Cr', 2238.0, 101757.96, 'SBINT', None, None, 0, 0, 0)
('2022-05-02', 'Db', 928.0, 100829.96, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-05-04', 'Cr', 11500.0, 112329.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-05-06', 'Db', 5400.0, 106929.96, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-05-07', 'Cr', 53912.0, 160841.96, 'NEFT', None, None, 0, 0, 1)
('2022-05-11', 'Cr', 1.0, 160842.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-05-11', 'Cr', 1000.0, 161842.96, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2022-05-11', 'Cr', 7.09, 161850.05, 'ECS', None, None, 0, 0, 0)
('2022-05-11', 'Db', 2000.0, 159850.05, 'UPI', 'ABUTALICN', None, 0, 0, 0)
('2022-05-12', 'Db', 10000.0, 149850.05, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-05-13', 'Db', 26817.0, 123033.05, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-05-13', 'Db', 104.0, 122929.05, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-05-13', 'Db', 549.0, 122380.05, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-05-18', 'Db', 2879.0, 119501.05, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-05-18', 'Db', 1000.0, 118501.05, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-05-25', 'Cr', 3933.0, 122434.05, 'NEFT', None, None, 0, 0, 0)
('2022-05-25', 'Db', 500.0, 121934.05, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-05-27', 'Db', 298.0, 121636.05, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-05-27', 'Db', 10000.0, 111636.05, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-05-29', 'Db', 899.0, 110737.05, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-06-01', 'Cr', 11500.0, 122237.05, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-06-03', 'Cr', 53912.0, 176149.05, 'NEFT', None, None, 0, 0, 1)
('2022-06-03', 'Db', 832.0, 175317.05, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-06-03', 'Db', 290.0, 175027.05, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-06-05', 'Db', 1000.0, 174027.05, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-08', 'Db', 87.0, 173940.05, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-06-09', 'Db', 26282.0, 147658.05, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2022-06-11', 'Db', 457.0, 147201.05, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-06-13', 'Db', 300.0, 146901.05, 'UPI', 'ADINATHM', None, 0, 0, 0)
('2022-06-13', 'Cr', 7.09, 146908.14, 'ECS', None, None, 0, 0, 0)
('2022-06-13', 'Db', 26940.0, 119968.14, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-06-13', 'Cr', 25000.0, 144968.14, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2022-06-14', 'Db', 200.0, 144768.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-15', 'Cr', 1.0, 144769.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-15', 'Db', 10000.0, 134769.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-06-17', 'Db', 500.0, 134269.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-19', 'Db', 18.0, 134251.14, 'SMS CHARGES', None, None, 0, 0, 0)
('2022-06-20', 'Db', 1500.0, 132751.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-26', 'Db', 500.0, 132251.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-06-27', 'Cr', 22102.0, 154353.14, 'NEFT', None, None, 0, 0, 1)
('2022-06-29', 'Db', 500.0, 153853.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-07-01', 'Db', 26286.0, 127567.14, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-07-02', 'Cr', 11500.0, 139067.14, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-07-04', 'Db', 960.0, 138107.14, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-07-05', 'Cr', 53712.0, 191819.14, 'NEFT', None, None, 0, 0, 1)
('2022-07-05', 'Db', 5400.0, 186419.14, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-07-05', 'Db', 1800.0, 184619.14, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2022-07-07', 'Db', 525.0, 184094.14, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2022-07-08', 'Db', 100.0, 183994.14, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-07-12', 'Db', 500.0, 183494.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-07-13', 'Db', 1450.0, 182044.14, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2022-07-16', 'Db', 10000.0, 172044.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-07-17', 'Cr', 700.0, 172744.14, 'UPI', 'ISUFSABA', None, 0, 0, 0)
('2022-07-17', 'Cr', 1500.0, 174244.14, 'UPI', 'ISUFSABA', None, 0, 0, 0)
('2022-07-21', 'Db', 500.0, 173744.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-07-23', 'Db', 496.0, 173248.14, 'UPI', 'PHONEPE', None, 0, 0, 0)
